layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
2,33,0.9963475,0.0018119372,0.007314778,0.17606705,0.0446162998215348,0.4907792980368828,0.8048780487804879,0.926829268292683,0.9902439024390243,0.9926829268292684,5.763094
3,33,0.99666685,0.0019956706,0.008434755,0.144184,0.06940313305572081,0.7733491969066032,1.0,0.9674796747967479,0.975609756097561,0.9878048780487805,7.961957
4,33,0.99842656,0.001424371,0.006346395,0.12261227,0.0297441998810232,0.396589331746976,1.0,0.9512195121951219,0.9853658536585367,0.9804878048780489,6.811322
5,33,0.99917513,0.001084433,0.004867888,0.106034696,0.0049573666468372005,0.1883799325798136,1.0,0.9593495934959348,0.9463414634146341,0.975609756097561,6.9009542
6,33,0.99934816,0.001031046,0.004121494,0.068374336,0.0,0.099147332936744,1.0,0.9512195121951219,0.9658536585365852,0.9829268292682928,5.3968587
7,33,0.9993904,0.0009247296,0.004419686,0.12637195,0.009914733293674401,0.1536783660519532,1.0,0.975609756097561,0.9707317073170731,0.9804878048780489,6.6757984
8,33,0.9991848,0.0011393471,0.004650186,0.14889008,0.009914733293674401,0.148720999405116,1.0,0.9593495934959348,0.9853658536585366,0.973170731707317,5.5817614
9,33,0.9996505,0.0007302621,0.0033966822,0.08466381,0.0,0.074360499702558,1.0,0.9837398373983739,0.9804878048780489,0.973170731707317,5.167196
10,33,0.999676,0.0007136063,0.0032400303,0.07622862,0.0,0.054531033115209196,1.0,0.9593495934959348,0.9707317073170731,0.9853658536585367,4.4979243
11,33,0.99971646,0.0007322165,0.0027294282,0.07119194,0.0,0.019829466587348802,1.0,0.975609756097561,0.9853658536585366,0.973170731707317,3.879879
0,34,0.9999815,0.00012905366,0.0005187112,0.014477819,0.0,0.0,1.0,1.0,0.9957446808510638,0.9936170212765957,0.66217595
1,34,0.99963593,0.00061487244,0.0018944142,0.05055055,0.0,0.0037724460540214276,0.9361702127659575,0.9858156028368793,0.9787234042553191,0.9914893617021276,2.1517115
2,34,0.99697286,0.0014736409,0.0061668297,0.1409306,0.03395201448619285,0.33952014486192844,0.8936170212765957,0.9716312056737588,0.9702127659574467,0.9914893617021276,6.3004694
3,34,0.99735194,0.0015690814,0.006892978,0.15470171,0.03395201448619285,0.4074241738343142,1.0,0.9645390070921986,0.9489361702127659,0.9744680851063829,8.120757
4,34,0.99792725,0.001339115,0.006592285,0.328811,0.01886223027010714,0.33574769880790706,1.0,0.9645390070921985,0.9702127659574467,0.9765957446808511,6.8043737
5,34,0.99908173,0.0010108042,0.0046962583,0.11136794,0.007544892108042855,0.1622151803229214,1.0,0.9929078014184397,0.9659574468085105,0.9893617021276596,7.168478
6,34,0.9993237,0.00092032616,0.003838215,0.09098172,0.0,0.0679040289723857,1.0,0.9574468085106383,0.9829787234042554,0.9702127659574467,5.3266807
7,34,0.99956715,0.0007182115,0.0034834128,0.084067225,0.0,0.07544892108042855,1.0,0.978723404255319,0.9702127659574467,0.9829787234042554,6.1652412
8,34,0.99934334,0.0009183944,0.0038674446,0.08720285,0.0,0.09808359740455712,1.0,0.9503546099290779,0.9787234042553191,0.9872340425531915,5.404176
9,34,0.9996508,0.00063696306,0.0031241025,0.08331674,0.0,0.05658669081032141,1.0,0.9503546099290779,0.9744680851063829,0.9765957446808511,4.8990197
10,34,0.9997707,0.0005198775,0.002625317,0.1303491,0.0037724460540214276,0.01508978421608571,1.0,0.9645390070921983,0.9531914893617021,0.9659574468085105,4.454068
11,34,0.99980724,0.00054661394,0.0021494122,0.048443556,0.0,0.0,1.0,0.978723404255319,0.9872340425531915,0.9893617021276596,3.4341667
0,35,0.99998266,0.0001301679,0.0005188014,0.0139909685,0.0,0.0,1.0,0.9927536231884058,0.9869565217391304,0.9956521739130434,0.68373525
1,35,0.9995163,0.0006699078,0.0022725768,0.05663222,0.0,0.01575299306868305,0.9347826086956522,0.9782608695652172,0.9869565217391304,0.9847826086956523,2.2808704
2,35,0.9965155,0.0016471223,0.0068384456,0.14714703,0.03544423440453687,0.3938248267170762,1.0,0.8840579710144926,0.9608695652173912,0.9869565217391304,5.9071584
3,35,0.99632376,0.0018315606,0.008363828,0.21074201,0.09845620667926905,0.728575929426591,0.9782608695652174,0.9347826086956522,0.9652173913043477,0.982608695652174,7.4836345
4,35,0.9987889,0.0011661263,0.00520323,0.092957854,0.0,0.2520478890989288,1.0,0.9855072463768115,0.991304347826087,0.9826086956521738,6.485185
5,35,0.99919677,0.0009760278,0.0044635227,0.10994658,0.007876496534341524,0.14177693761814747,1.0,0.963768115942029,0.982608695652174,0.982608695652174,6.4321065
6,35,0.9991323,0.0009794016,0.0043954607,0.12618166,0.007876496534341524,0.14965343415248897,1.0,0.9710144927536233,0.9739130434782608,0.9782608695652172,5.112412
7,35,0.9993459,0.00083232217,0.0042620306,0.12316403,0.003938248267170762,0.14571518588531823,1.0,0.9782608695652172,0.9869565217391303,0.9826086956521738,6.073023
8,35,0.9993537,0.0009432467,0.003899162,0.09484577,0.0,0.055135475740390676,1.0,0.9710144927536232,0.9695652173913042,0.9804347826086957,5.2991433
9,35,0.9996546,0.0006809992,0.0031477888,0.09690076,0.0,0.03544423440453687,1.0,0.9710144927536232,0.9739130434782608,0.9869565217391304,5.0217123
10,35,0.9997785,0.00056213693,0.0025583147,0.05876589,0.0,0.01969124133585381,1.0,0.9710144927536232,0.9652173913043478,0.967391304347826,4.4914465
11,35,0.99975985,0.000638952,0.0024873796,0.046277374,0.0,0.0,1.0,0.963768115942029,0.9826086956521738,0.9869565217391305,3.6122675
0,36,0.99997795,0.00015851161,0.00061174145,0.021270037,0.0,0.0,1.0,0.991869918699187,0.9853658536585367,0.9975609756097561,0.71824247
